MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
10,100,5,50,2000,8,40,-10,6
8,300,70,1000,199999,7,50,-100,7
3.8141,52,5.568,1.034666667,908,2.421333333,34.08,-118.35,3.42
1.5076,24,3.192563081,1.087649402,1566,2.079681275,33.77,-118.2,1.458
3.0952,23,5.801324503,1.101545254,1210,2.671081678,38.65,-121.32,1.577
1.5536,25,4.088785047,1,931,4.35046729,36.6,-120.19,0.583
2.5038,39,4.970822281,1.090185676,822,2.180371353,39.14,-121.63,0.683
4.125,32,5.543478261,1.09057971,666,2.413043478,33.91,-117.91,2.302
6.5851,26,7.989949749,0.984924623,654,3.286432161,34.21,-118.88,3
5.2809,28,6.872727273,1.018181818,752,2.278787879,36.82,-119.82,1.515
5.898,18,6.129824561,1.112280702,1055,3.701754386,37.23,-121.78,2.291
3.125,9,6.657754011,1.251336898,517,2.764705882,38.94,-122.69,0.934
1.722,14,3.432791728,1.113737075,1026,1.515509601,38.46,-122.73,1.5
1.6389,29,4.57312253,1.173913043,2027,8.011857708,33.97,-117.38,1.55
1.6581,48,4.005617978,0.929775281,784,2.202247191,34.03,-118.34,1.188
3.95,45,4.521008403,0.894957983,781,3.281512605,33.95,-118.35,1.64
2.8875,17,5.676537585,1.125284738,1278,2.911161731,32.82,-116.92,1.557
1.7217,16,3.810714286,1.148214286,1555,2.776785714,33.22,-117.22,1.75
2.1164,34,3.985882353,1.070588235,1467,3.451764706,32.71,-117.14,1.394
5.0385,27,5.54109589,0.920091324,1301,2.970319635,37.28,-121.97,2.773
4.0385,33,5.027863777,1.043343653,1412,4.371517028,37.36,-121.82,1.676
2.1213,35,3.916666667,0.955357143,732,2.178571429,38.58,-121.53,0.792
4.5469,4,5.219594595,1.027027027,788,2.662162162,33.68,-117.81,5.00001
1.9797,22,2.802005013,1.095238095,1190,2.98245614,33.77,-118.2,1.438
4.0391,33,5.196141479,1.035369775,580,1.864951768,34.16,-118.44,3.375
3.5524,27,5.791569087,0.93676815,1271,2.976580796,35.4,-118.96,0.891
4.26,46,5.959785523,0.967828418,968,2.595174263,34.02,-118.33,1.826
2.0057,42,4.620842572,1.146341463,1062,2.354767184,33.96,-118.33,1.982
3.0773,15,3.910290237,0.910290237,669,1.765171504,34.43,-119.82,1.125
5.1067,40,6.353430353,1.016632017,1103,2.293139293,37.93,-122.32,2.473
2.2031,22,3.824146982,1.007874016,2962,3.887139108,37.35,-121.84,1.64
4.2218,48,5.075471698,1.006289308,684,2.150943396,34.02,-118.34,1.81
2.6087,21,5.193029491,1.042895442,1002,2.686327078,37.25,-121,0.962
3.3095,33,5.474120083,0.950310559,1113,2.304347826,41.74,-122.64,0.813
2.625,31,4.416666667,0.93452381,1163,3.461309524,37.96,-121.22,0.721
5.9546,39,5.669064748,0.920863309,413,2.971223022,34.13,-118.08,3.967
8.8612,24,7.901639344,1.016393443,1514,2.757741348,34.25,-118.51,5.00001
4.625,16,4.984375,0.921875,149,2.328125,34.07,-118.6,4.333
3.5234,31,4.220588235,1.083333333,1675,2.736928105,33.91,-118.35,2.65
4.5337,31,5.524390244,1.052845528,2544,3.447154472,37.68,-122.47,3.067
3.225,35,6.570093458,1.093457944,290,2.710280374,38.04,-121.19,1.771
3.2219,31,4.825958702,1.120943953,1468,4.330383481,36.51,-121.44,1.147
2.4028,19,4.347826087,0.917391304,572,2.486956522,34.1,-117.39,1.125
7.1572,25,7.705882353,1.034155598,1623,3.079696395,33.76,-118.04,2.949
3.4115,16,5.408719346,1.050408719,1202,1.63760218,33.62,-117.64,1.848
5.1356,10,5.144312394,0.974533107,1623,2.755517827,37.26,-121.82,2.187
5.1185,15,6.202090592,1.033101045,1757,3.06097561,32.85,-116.89,1.853
4.5943,10,4.469437653,1.107579462,1356,3.315403423,37.29,-121.83,1.235
1.425,43,3.690909091,1.018181818,1805,4.102272727,37.96,-121.27,0.613
5.6428,43,4.980582524,0.951456311,266,2.582524272,34.01,-118.46,3.431
4.7727,35,6,0.964454976,1338,3.170616114,34.27,-119.25,2.19
3.375,47,4.473684211,0.943609023,540,2.030075188,37.72,-122.15,1.983
3.2105,28,5.918205805,1.052770449,1464,3.862796834,34.08,-117.18,0.903
2.2375,19,4.742105263,0.963157895,700,3.684210526,36.94,-120.06,0.643
4.1379,3,4.458029197,1.162408759,1033,1.885036496,33.56,-117.7,1.833
3.5128,23,5.177777778,0.950617284,911,2.249382716,36.74,-119.69,1.216
5.6506,10,7.092150171,1.039249147,1878,3.204778157,37.99,-121.79,1.786
2.5388,15,3.887173397,1.062945368,1872,2.22327791,32.85,-116.93,1.19
2.4167,31,4.105263158,1.020242915,1064,4.307692308,34.03,-118.17,1.255
6.2356,42,4.636085627,1.042813456,634,1.93883792,33.88,-118.4,4.727
4.8304,32,4.929648241,0.972361809,1274,3.201005025,33.95,-118.08,1.606
4.0764,32,4.979716024,1.127789047,989,2.006085193,34.16,-118.36,3.25
4.8152,36,5.637323944,1.021126761,715,2.517605634,33.97,-118.03,2.324
6.1805,18,5.876388889,1.011111111,2030,2.819444444,32.86,-117.19,2.724
12.0933,10,8.179012346,1.166666667,427,2.635802469,37.98,-122.46,5.00001
2.5806,20,5.568438003,1.048309179,1465,2.359098229,35.44,-119.01,0.825
3.5707,29,5.503797468,1.058227848,1030,2.607594937,34.21,-118.22,3.417
1.0649,43,3.56462585,1.06122449,1320,4.489795918,38.56,-121.51,1.375
2.9,19,6.183510638,1.143617021,967,2.571808511,38.75,-120.7,1.587
2.108,52,5.244680851,0.946808511,189,2.010638298,38.75,-121.28,0.838
1.5743,31,4.544871795,0.980769231,1219,3.907051282,35.36,-118.97,0.467
1.7898,35,4.970394737,1.039473684,892,2.934210526,37.96,-121.26,0.635
2.9414,20,4.677647059,0.997647059,1277,3.004705882,33.77,-117.97,1.622
3.1065,36,4.710594315,1.059431525,1589,4.105943152,37.35,-121.93,2.341
5.0391,28,5.86779661,1,810,2.745762712,37.91,-122.07,2.598
2.1078,43,4.707520891,1.055710306,1017,2.832869081,34.03,-118.36,1.335
2.3466,28,5.227777778,0.972222222,588,3.266666667,36.3,-119.65,0.534
2.4207,31,3.850202429,1.12145749,1485,3.006072874,37.32,-121.92,1.656
2.5603,52,3.608235294,1.023529412,2122,2.496470588,37.8,-122.42,2.875
4.0781,36,5.605263158,0.973684211,699,2.627819549,33.85,-118.15,2.173
6.3258,16,6.412621359,1.087378641,650,3.155339806,37.06,-121.96,3.9
5.9333,17,6.917748918,0.961038961,1581,3.422077922,33.95,-117.55,2.294
2.918,39,3.891737892,1.044634378,2054,1.950617284,34,-118.46,3.456
3.6648,34,4.29753915,0.944071588,1230,2.751677852,34.06,-117.94,1.939
2.5363,16,5.279411765,1.064705882,1642,4.829411765,37.07,-120.85,0.863
5.276,23,6.845559846,1.067567568,1533,2.959459459,33.19,-117.34,2.245
8.2673,21,7.539614561,0.957173448,1396,2.989293362,37.87,-122.03,3.587
1.7427,32,4.757575758,1.0171278,2060,2.714097497,40.69,-122.36,0.606
2.9569,27,6.233082707,1.195488722,2362,4.439849624,33.82,-116.49,0.659
3.0288,40,5.125506073,1.04048583,547,2.214574899,38.13,-121.73,1.644
4.0679,24,6.347394541,1.049627792,1149,2.851116625,38.91,-121.11,1.905
6.2475,26,5.824561404,0.959064327,980,2.865497076,37.34,-122.02,3.5
11.1557,24,7.921875,1.088541667,539,2.807291667,37.24,-122.04,5.00001
3.825,27,4.524509804,0.911764706,1014,4.970588235,33.88,-118.08,1.595
1.6023,35,6.323529412,1.323529412,100,2.941176471,37.95,-122.37,0.813
7.9013,5,8.319293478,1.120923913,2440,3.315217391,34.3,-118.67,3.93
1.6838,19,4.350746269,0.843283582,531,3.962686567,32.7,-115.4,0.958
1.6607,37,4.031578947,0.994736842,639,3.363157895,36.08,-119.56,0.421
5.7358,7,6.450746269,0.971144279,3269,3.252736318,32.63,-117.01,2.216
2.4196,34,3.520208605,0.994784876,2815,3.670143416,33.97,-118.19,1.784
3.46,32,6.884313725,1.266666667,1733,3.398039216,34.71,-117.96,1.239
8.4196,21,7.207476636,1.022429907,1422,2.657943925,34.15,-118.58,4.507
2.8261,19,4.341569767,0.98255814,1782,2.590116279,38.34,-122.7,1.545
4.1042,36,5.82208589,1.006134969,502,3.079754601,33.92,-118.25,1.244
2.3889,6,6.31661442,1.294670846,992,3.109717868,36.09,-119.57,0.532
4.559,23,6.556213018,1.118343195,1006,2.976331361,40.51,-122.24,1.168
2.3108,28,5.134357006,1.011516315,1392,2.671785029,36.76,-119.71,0.72
4.8047,15,4.933515483,1.091985428,2593,2.361566485,37.53,-122.28,4.38
1.1912,32,6.356164384,1.616438356,703,2.407534247,38.97,-122.65,0.6
4.8611,35,7.157480315,1.448818898,682,2.68503937,37.09,-122.02,2.4
2.1971,52,3.092664093,1.05019305,639,2.467181467,37.75,-122.42,2.75
2.25,14,4.73433584,1.180451128,853,2.137844612,39.22,-121.04,1.125
1.7866,25,1.678571429,1.066326531,2796,3.566326531,34.05,-118.27,3.25
4.285,34,5.208469055,0.964169381,938,3.055374593,33.87,-117.95,1.849
4.4559,21,4.778645833,1.111979167,1038,2.703125,33.81,-118.19,1.985
5.3363,9,6.284931507,1.065753425,1142,3.128767123,38.01,-121.93,1.608
4.0027,13,5.785185185,1.009876543,1347,3.325925926,36.75,-119.69,0.931
3.9009,33,4.272030651,0.957854406,1168,4.475095785,37.28,-121.83,1.786
5.0194,38,5.961206897,1.025862069,649,2.797413793,33.97,-117.4,1.489
3.6375,26,4.933774834,1.066225166,247,1.635761589,33.86,-117.92,1.339
2.785,36,5.289029536,0.983122363,1227,2.588607595,36.77,-119.76,0.723
3.0197,28,4.266666667,1.1,214,3.566666667,36.67,-121.64,1.375
4.5417,21,5.903508772,1.046052632,1330,2.916666667,34.25,-118.47,2.389
4.6806,18,4.633802817,1.014084507,209,2.943661972,33.86,-117.85,1.875
1.6522,37,4.897435897,1.007326007,767,2.80952381,35.31,-119,0.533
7.5794,37,6.877394636,1.091954023,791,3.030651341,37.35,-122.09,5.00001
1.4727,33,5.077380952,1.069444444,1583,3.140873016,39.13,-121.61,0.53
9.9055,19,9.830769231,1.169230769,822,3.161538462,33.81,-117.82,4.569
3.6118,34,5.459363958,1.04770318,1588,2.80565371,38,-121.79,1.247
2.4069,52,3.538116592,1.091928251,879,1.970852018,32.73,-117.17,2.15
5.8324,17,6.457960644,1.060822898,1734,3.1019678,36.9,-121.29,3.742
4.9013,45,5.635220126,0.946540881,829,2.606918239,37.56,-122.31,3.301
5.2108,31,5.846153846,1.083916084,1604,2.804195804,37.34,-122,3.515
1.7446,23,3.776422764,1.119918699,1506,3.06097561,32.75,-117.1,0.852
1.8929,30,2.96875,1.047794118,1245,2.288602941,34.14,-118.25,1.969
3.0469,25,6.386666667,1.149333333,983,2.621333333,40.66,-123.74,1.36
3.1875,31,5.462184874,1.072829132,870,2.43697479,34.17,-118.57,5.00001
3.8672,15,5.437333333,1.024,1178,3.141333333,38.11,-121.27,1.201
2.375,10,4.064456722,1.186003683,2232,4.110497238,34.95,-120.45,0.985
2.9083,14,3.648208469,1.039087948,982,3.198697068,33.76,-118,1.792
3.4265,52,4.703448276,1.036781609,944,2.170114943,34.07,-118.36,4.569
2.6944,36,5.333333333,1.052631579,647,2.837719298,40.54,-122.38,0.753
2.053,31,2.348333333,1.043333333,4126,3.438333333,34.05,-118.29,2.292
6.0571,17,6.207598372,1.036635007,2054,2.78697422,33.92,-117.87,2.724
4.0398,23,5.154782609,1.046956522,3570,3.104347826,33.77,-117.85,2.331
3.755,15,5.363076923,0.953846154,1011,3.110769231,36.81,-119.85,0.68
2.0926,11,4.134939759,0.973493976,722,1.739759036,38.61,-121.34,1.661
10.1248,25,7.545454545,0.97107438,1525,3.150826446,34.06,-117.87,4.285
2.0524,31,3.602094241,1.068062827,2461,4.294938918,33.97,-118.14,1.608
3.55,20,6.138823529,1.128235294,2302,2.708235294,34.12,-118.05,4.767
4.05,20,6.220264317,0.995594714,700,3.083700441,38.67,-121.22,1.307
1.7158,37,4.285333333,1.005333333,1526,4.069333333,33.91,-118.24,0.943
2.625,23,4.728888889,0.982222222,1047,2.326666667,36.8,-119.72,0.715
5.3307,25,5.12037037,0.958333333,888,4.111111111,33.84,-118.23,2.07
2.6023,26,13.98550725,2.833333333,307,2.224637681,39.26,-120.01,1.393
1.8564,37,3.814814815,1.050754458,2586,3.547325103,34.03,-118.3,1.875
3.1546,34,4.66957606,1.194513716,1622,2.02244389,36.98,-121.95,2.612
4.6649,24,5.63170347,1.048895899,3418,2.695583596,33.72,-118.04,2.378
3.6995,38,5.288503254,0.958785249,1308,2.837310195,34.1,-118.06,2.601
3.1462,19,2.765306122,1.119047619,2079,1.414285714,37.78,-122.42,1.875
6.8279,2,8.782971619,1.273789649,1460,2.437395659,33.51,-117.7,2.79
3.636,9,5.994983278,1.137123746,1800,3.010033445,38.11,-120.91,1.331
5.2853,31,5.169444444,1.194444444,736,2.044444444,34.15,-118.42,3.559
1.3134,48,3.6625,1.1,1859,4.6475,34.02,-118.26,0.962
3.8464,17,3.699692308,1.068923077,3539,2.177846154,37.36,-122,2.394
3.275,34,5.459459459,1.054054054,1293,2.912162162,33.93,-118.01,1.899
3.4531,26,4.983935743,1.0562249,2563,3.431057564,36.61,-121.83,1.331
6.776,21,6.753371869,1.024084778,3331,3.209055877,34.37,-118.55,2.781
7.0735,14,8.056485356,1.117154812,2052,4.292887029,37.38,-121.87,3.356
1.4952,42,5.00990099,1.264026403,656,2.165016502,39.88,-123.71,0.698
4.5658,33,5.744680851,1.26443769,859,2.610942249,33.62,-117.93,5.00001
1.9032,15,4.331395349,1.05620155,1376,2.666666667,39.14,-123.21,1
11.1978,32,7.27034358,1.03164557,2768,2.502712477,34.1,-118.47,5.00001
5.1408,36,4.123036649,0.992146597,1036,2.712041885,37.4,-122.09,2.647
1.9236,52,4.506493506,1.090909091,558,2.415584416,34.07,-117.65,1.172
1.6667,13,4.015923567,1.144904459,1381,2.199044586,40.91,-124.08,0.788
5.1178,28,5.839541547,0.94269341,947,2.713467049,37.98,-122.26,1.98
4.9135,52,6.676549865,1.037735849,993,2.676549865,34.16,-118.25,3.681
4.1115,35,4.908333333,0.995833333,1659,3.45625,33.79,-117.98,1.797
2.4931,36,3.668639053,1.032544379,1383,4.091715976,34.07,-118.1,1.703
1.9963,52,4.507352941,0.988970588,693,2.547794118,34.07,-117.32,0.769
4.4597,29,5.615789474,1.122807018,1722,3.021052632,37.14,-122.11,2.041
6.1228,17,6.665079365,0.998412698,2020,3.206349206,37.55,-122.28,3.757
1.9219,31,3.871401152,1.086372361,2063,3.959692898,33.97,-118.28,1.07
10.6349,24,6.340361446,1.042168675,712,2.144578313,33.53,-117.76,5.00001
2.1767,45,4.841059603,1.01986755,924,3.059602649,37.74,-122.39,1.853
3.0862,35,4.69789675,1.055449331,1159,2.216061185,34.05,-118.37,3.453
4.1304,27,4.683727034,0.998687664,3339,4.381889764,34.09,-117.97,1.605
2.8919,52,5.140506329,1.089873418,2290,2.898734177,34.1,-118.14,2.584
2.8058,47,3.549723757,1.081491713,3107,4.291436464,37.48,-122.22,2.295
2.8512,35,5.525333333,1.026666667,1029,2.744,40.58,-122.41,0.756
7.9213,44,6.448113208,0.978773585,1057,2.492924528,34.13,-118.18,4.778
3.375,15,5.342657343,1.013986014,366,2.559440559,38.78,-122.59,1.031
